ufn,fish_species,kingdom,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species,life_stage,count,length_max,length_min,length_avg,digestion_state,prey_weight_raw,prey_weight_corr,size_class
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,,Molt,1,6,6,6,1,1,1.54,5 to 10
U3007,Chum,Animalia,Chordata,Verbrata,Actinopterygii,,Perciformes,Trachinoidei,,Ammodytidae,Ammodytes,hexapterus,Juvenile,1,23.3,23.3,23.3,2,157.1,241.934,>10
U3007,Chum,Animalia,Chaetognatha,,Sagittoidea,,Phragmophora,,,Eukrohniidae,Eukrohnia,hamata,,4,23,10.3,16.65,1,6.1,9.394,>10
U3007,Chum,Animalia,Chaetognatha,,Sagittoidea,,,,,,,,,15,6.5,5,5.75,2,14.6,22.484,5 to 10
U3007,Chum,Animalia,Chaetognatha,,Sagittoidea,,Phragmophora,,,Eukrohniidae,Eukrohnia,hamata,,3,9.4,8.5,8.95,1,3.6,5.544,5 to 10
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Senticaudata,Talitrida,Hyalidae,Hyale,,,4,2,1.8,1.9,1,2.2,3.388,1 to 2
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,,,Juvenile,2,0.8,0.8,0.8,1,0.1,0.154,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Axiidea,Callianassidae,Neotrypaea,californiensis,Zoea_I,1,2.3,2.3,2.3,1,0.4,0.616,2 to 5
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostra,Decapoda,Pleocyemata,Brachyura,Grapsidae,Hemigrapsus,nudus,Zoea,1,1,1,1,1,0.1,0.154,1 to 2
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,marshallae,,7,4.1,3.2,3.65,1,9.6,14.784,2 to 5
