project,action,seine_id,date,work_area,survey,site_id,UFN,semsp_id,jsp_survey_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,analysis_planned,dissection_status,lice_collection_protocol,lice_id_protocol,analyzing_lab,quality_level,comments,quality_log,sampling_week
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U5693,2015-05-16-D07-CU-9,DE107,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U5692,2015-05-16-D07-CU-7,DE107,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U5691,2015-05-16-D07-CU-6,DE107,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U5690,2015-05-16-D07-CU-3,DE107,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U5689,2015-05-16-D07-CU-10,DE107,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U2635,2015-05-16-D07-CU-8,DE107,CU,NA,NA,NA,NA,NA,NA,2016-12-01,NONE,PRESENT,14.9,109,114,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Raw,NA,1: Fork length generated with species-specific linear regression model (2019-02-01 JG),19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U2830,2015-05-16-D07-CU-5,DE107,CU,NA,NA,NA,NA,NA,NA,2016-12-02,NONE,PRESENT,10.7,96,101,NA,Outside blade touched heart.,Small spleen,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U2827,2015-05-16-D07-CU-4,DE107,CU,NA,NA,NA,NA,NA,NA,2016-12-02,NONE,PRESENT,14.6,108,114,NA,NA,NA,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U2828,2015-05-16-D07-CU-2,DE107,CU,NA,NA,NA,NA,NA,NA,2016-12-02,NONE,PRESENT,17.9,118,122,NA,NA,Small spleen,CVJ,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
JSP,NA,DE107N1,2015-05-16,QUADRA,DI_C,D07,U2912,2015-05-16-D07-CU-1,DE107,CU,NA,NA,NA,NA,NA,NA,2016-11-30,NONE,PRESENT,7.1,85,90,NA,NA,NA,BMM,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May
