project,action,date,work_area,jsp_survey_id,gather_long,gather_lat,set_time,survey,site_id,pk,seine_id,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
JSP,,2015-06-07,QUADRA,DE169,,,,DI_C,D07,58,DE169N1,1,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-12,QUADRA,DE100,,,,DI_E,D01,1,DE100N2,2,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-12,QUADRA,DE100,,,,DI_E,D01,2,DE100N1,1,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-12,QUADRA,DE100,-124.747,49.9613,11:40:00,DI_E,D01,3,DE100N3,3,TARGETED,40,,,,TRUE,30,,0,0,10,,1,,2,,,,1,SEMSP,
JSP,,2015-05-13,QUADRA,DE101,-124.8509,50.07902,9:49:00,DI_E,D02,4,DE101N1,1,TARGETED,,,,,TRUE,30,400,0,0,10,40,0,0,0,0,,,1,SEMSP,
JSP,,2015-05-14,QUADRA,DE102,-125.1395,49.99932,7:38:00,DI_W,D04,5,DE102N1,1,TARGETED,,,,,TRUE,30,300,0,0,0,0,0,0,7,10,,,1,SEMSP,
JSP,,2015-05-15,QUADRA,DE103,-124.8842,50.16142,7:50:00,DI_E,D05,6,DE103N1,1,TARGETED,,,,,TRUE,30,200,1,1,5,6,0,0,0,0,,,1,SEMSP,
JSP,,2015-05-15,QUADRA,DE104,-124.8511,50.08007,10:21:00,DI_E,D02,7,DE104N1,1,TARGETED,,,,,TRUE,30,300,0,0,10,10,0,0,1,1,,,1,SEMSP,
JSP,,2015-05-15,QUADRA,DE105,-125.07512,50.11842,13:28:00,DI_E,D03,8,DE105N1,1,TARGETED,,,,,TRUE,30,40,0,0,10,20,0,0,2,2,,,1,SEMSP,
JSP,,2015-05-16,QUADRA,DE106,-125.2468,50.08005,8:00:00,DI_W,D06,9,DE106N1,1,TARGETED,,,,,TRUE,30,600,2,2,10,1000,4,4,0,0,,,1,SEMSP,
JSP,,2015-05-16,QUADRA,DE107,-125.1602,50.16412,12:30:00,DI_C,D07,10,DE107N1,1,TARGETED,,,,,TRUE,30,500,1,1,10,300,1,1,10,10,,,1,SEMSP,
JSP,,2015-05-17,QUADRA,DE108,-124.8549,50.08123,9:00:00,DI_E,D02,11,DE108N1,1,TARGETED,,,,,TRUE,8,8,0,0,10,90,0,0,0,0,,,1,SEMSP,
JSP,,2015-05-18,QUADRA,DE109,-125.0787,50.11405,7:30:00,DI_E,D03,12,DE109N1,1,TARGETED,,,,,TRUE,30,70,0,0,1,10,0,0,2,2,,,1,SEMSP,
JSP,,2015-05-18,QUADRA,DE110,-124.8888,50.1659,11:30:00,DI_E,D05,13,DE110N1,1,TARGETED,,,,,TRUE,6,6,1,1,10,30,0,0,0,0,,,1,SEMSP,
JSP,,2015-05-19,QUADRA,DE111,-125.0841,50.34273,10:30:00,DI_E,D08,14,DE111N1,1,TARGETED,,,,,TRUE,30,200,2,2,10,100,2,6,5,10,,,1,SEMSP,1: Fish moved by jug from net to buckets (30 sockeye in one 5 gallon pale; 50 total chum; pink; herring; coho in a second five gallon pale and two aquaria) to avoid net collapse on fish during onshore wind.
JSP,,2015-05-20,QUADRA,DE112,-125.3293,50.30787,8:00:00,DI_C,D09,15,DE112N1,1,TARGETED,,,,,TRUE,30,200,0,0,10,30,1,1,10,30,,,1,SEMSP,
JSP,,2015-05-21,QUADRA,DE114,-125.1175,50.13705,9:45:00,DI_E,D03,16,DE114N1,1,TARGETED,30,,,,TRUE,3,3,5,5,10,30,1,5,0,0,,,1,SEMSP,1: Coho: 4 out of 5 in net too large for Whirl-Pak; not taken.
JSP,,2015-05-21,QUADRA,DE115,,,,DI_C,D07,17,DE115N1,1,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-21,QUADRA,DE115,-125.1493,50.18217,13:00:00,DI_C,D07,18,DE115N2,2,TARGETED,17,,,,TRUE,30,200,8,10,10,50,1,1,0,0,,,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
JSP,,2015-05-23,QUADRA,DE116,-125.0395,50.31962,7:00:00,DI_E,D08,19,DE116N1,1,TARGETED,9,,,,TRUE,29,29,0,0,10,40,1,2,1,1,,,1,SEMSP,
JSP,,2015-05-23,QUADRA,DE117,-125.279,50.44365,10:15:00,DI_E,D10,20,DE117N1,1,TARGETED,20,,,,TRUE,30,3000,2,10,2,100,0,0,1,10,,,1,SEMSP,
JSP,,2015-05-24,QUADRA,DE120,,,,DI,D11,21,DE120N1,1,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-24,QUADRA,DE120,-125.45602,50.34655,8:40:00,DI,D11,22,DE120N2,2,TARGETED,25,,,,TRUE,30,200,0,0,10,300,1,1,6,10,,,1,SEMSP,
JSP,,2015-05-24,QUADRA,DE121,-125.33345,50.30723,12:10:00,DI_C,D09,23,DE121N1,1,TARGETED,47,,,,TRUE,30,200,2,2,4,4,0,0,1,1,,,1,SEMSP,
JSP,,2015-05-25,QUADRA,DE124,-125.05186,50.3153,7:35:00,DI_E,D08,24,DE124N1,1,TARGETED,0,,,,TRUE,30,200,0,0,10,40,0,0,0,0,,,1,SEMSP,
JSP,,2015-05-25,QUADRA,DE125,,,10:23:00,DI_E,D05,25,DE125N1,1,TARGETED,22,,,,FALSE,0,0,0,0,0,0,0,0,0,0,,,,SEMSP,1: Set on 1 slider; no catch
JSP,,2015-05-26,QUADRA,DE128,,,,DI_E,D10,26,DE128N3,3,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-26,QUADRA,DE128,,,,DI_E,D10,27,DE128N2,2,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-26,QUADRA,DE128,,,,DI_E,D10,28,DE128N1,1,TARGETED,,,,,FALSE,0,0,,,,,,,,,,,,SEMSP,1: No sockeye in set; did not enumerate
JSP,,2015-05-26,QUADRA,DE128,-125.2804,50.44466,8:45:00,DI_E,D10,29,DE128N4,4,TARGETED,97,,,,TRUE,30,200,0,0,5,10,1,1,1,2,,,1,SEMSP,
JSP,,2015-05-26,QUADRA,DE130,-125.32452,50.30795,12:29:00,DI_C,D09,30,DE130N1,1,TARGETED,11,,,,TRUE,30,40,0,0,10,10,0,0,0,0,,,1,SEMSP,
JSP,,2015-05-28,QUADRA,DE137,-125.33027,50.44941,6:45:00,DI_E,D10,31,DE137N1,1,TARGETED,28,,,,TRUE,30,30,0,0,5,10,0,0,1,1,,,1,SEMSP,
JSP,,2015-05-28,QUADRA,DE138,,,9:55:00,DI,D11,32,DE138N1,1,TARGETED,33,,,,FALSE,0,0,0,0,0,0,0,6,0,0,,,,SEMSP,1: CO = 6 total; released
JSP,,2015-05-28,QUADRA,DE139,-125.32275,50.30884,11:10:00,DI_C,D09,33,DE139N1,1,TARGETED,10,,,,TRUE,30,200,0,0,10,10,0,0,3,3,,,1,SEMSP,
JSP,,2015-05-30,QUADRA,DE140,-125.27265,50.10015,10:19:00,DI_W,D06,34,DE140N1,1,TARGETED,36,,,,TRUE,30,40,0,0,10,200,0,0,0,0,,,1,SEMSP,
