old_category,new_category
Acartia,Acartia
Acartia_clausi,Acartia
Acartia_longiremis,Acartia_longiremis
Actinopterygii_Larvae,Actinopterygii_Larvae
Aetideus_divergens,Aetideus_divergens
Amphibalanus_improvisus_Cyprid,Balanomorpha_Cyprid
Anomura_Zoea,Anomura_Zoea
Aoroides_columbiae,Senticaudata
Araneae,Arthropoda
Asteroidea_Brachiolaria,Asteroidea_Brachiolaria
Balanomorpha,Balanomorpha
Balanomorpha_Cyprid,Balanomorpha_Cyprid
Balanomorpha_Molt,Balanomorpha_Molt
Balanomorpha_Nauplii,Balanomorpha_Nauplii
Balanus_crenatus_Cyprid,Balanus_crenatus_Cyprid
Balanus_glandula_Cyprid,Balanus_glandula_Cyprid
Brachyura_Megalopa,Brachyura_Larvae
Brachyura_Zoea,Brachyura_Larvae
Calanidae_Nauplii,Calanoida_Larvae
Calanoida,Calanoida
Calanoida_Copepodite,Calanoida_Larvae
Calanus,Calanus
Calanus_marshallae,Calanus_marshallae
Calanus_pacificus,Calanus_pacificus
Cancer_antennarius_Zoea_II,Cancer_Larvae
Cancer_antennarius_Zoea_IV,Cancer_Larvae
Cancer_gracilis_Zoea_II,Cancer_gracilis_Zoea
Cancer_gracilis_Zoea_III,Cancer_gracilis_Zoea
Cancer_gracilis_Zoea_V,Cancer_gracilis_Zoea
Cancer_oregonensis_Zoea_III,Cancer_Larvae
Cancer_productus_Megalopa,Cancer_Larvae
Cancer_Zoea,Cancer_Larvae
Candacia_columbiae,Calanoida
Caprella,Caprella
Caprella_californica,Caprella
Caprella_laeviuscula,Caprella
Caridea_Zoea,Caridea_Zoea
Centropages_abdominalis,Centropages_abdominalis
Cnidaria,Cnidaria
Copepoda,Copepoda
Coscinodiscophycidae,Coscinodiscophycidae
Crustacea,Crustacea
Ctenophora,Ctenophora
Culicomorpha,Culicomorpha
Culicomorpha_Larvae,Diptera_Larvae
Cumacea,Cumacea
Cyclopoida,Cyclopoida
Cyphocaris_challengeri,Senticaudata
Detritus,Detritus
Digested_food,Digested_food
Diptera,Diptera
Diptera_Pupae,Diptera_Larvae
Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus
Ditrichocorycaeus_anglicus_Copepodite,Ditrichocorycaeus_anglicus_Copepodite
Empty,Empty
Epilabidocera_amphrites,Epilabidocera_amphrites
Epilabidocera_amphrites_Copepodite,Calanoida_Larvae
Eualus_suckleyi_Zoea_I,Caridea_Zoea
Eucalanus,Eucalanus
Eucalanus_bungii,Eucalanus_bungii
Eucalanus_hyalinus,Eucalanus
Eukrohnia_hamata,Eukrohnia_hamata
Euphausia_pacifica,Euphausia_pacifica
Euphausiidae,Euphausiidae
Euphausiidae_Calyptopis,Euphausiidae_Calyptopis
Euphausiidae_Furcilia,Euphausiidae_Furcilia
Euphausiidae_Juvenile,Euphausiidae
Euphausiidae_Nauplii,Euphausiidae_Nauplii
Eurytemora_affinis,Calanoida
Evadne,Podonidae
Evadne_tergestina,Podonidae
Fabia_subquadrata_Zoea_III,Pinnotheridae_Larvae
Glass_Object,Objects
Harpacticoida,Harpacticoida
Harpacticus,Harpacticus
Hemigrapsus_nudus_Zoea V,Hemigrapsus_Larvae
Hemigrapsus_nudus_Zoea_I,Hemigrapsus_Larvae
Hemigrapsus_oregonensis_Megalopa,Hemigrapsus_Larvae
Hemigrapsus_oregonensis_Zoea_I,Hemigrapsus_Larvae
Hemigrapsus_Zoea,Hemigrapsus_Larvae
Hyale,Senticaudata
Hydrachnidia,Arthropoda
Hyperia,Hyperiidae
Hyperiidae,Hyperiidae
Hyperiidae_Juvenile,Hyperiidae_Juvenile
Hyperoche,Hyperoche
Hyperoche_mediterranea,Hyperoche
Hyperoche_medusarum,Hyperoche_medusarum
Insecta,Arthropoda
Isopoda_Juvenile,Isopoda_Juvenile
Kellia_suborbicularis_Veliger,Mollusca_Veliger
Lepeophtheirus_salmonis_Juvenile,Parasites
Limacina_helicina,Pteropoda
Lophopanopeus_bellus_bellus_Zoea_II,Lophopanopeus_bellus_Zoea
Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Zoea
Lophopanopeus_bellus_Zoea_I,Lophopanopeus_bellus_Zoea
Lophopanopeus_bellus_Zoea_II,Lophopanopeus_bellus_Zoea
Lophopanopeus_bellus_Zoea_III,Lophopanopeus_bellus_Zoea
Lophopanopeus_bellus_Zoea_IV,Lophopanopeus_bellus_Zoea
Mesocalanus_tenuicornis,Mesocalanus_tenuicornis
Metridia,Metridia
Metridia_curticaudata,Metridia_curticaudata
Metridia_lucens,Metridia
Metriocnemus_Larvae,Diptera_Larvae
Microcalanus_pygmaeus_pusillus,Microcalanus_pygmaeus_pusillus
Microplastic_chunk_Object,Objects
Monocorophium,Senticaudata
Nannastacidae,Cumacea
Nematoda,Parasites
Nematoscelis_difficilis,Euphausiidae
Neocalanus_cristatus,Neocalanus
Neocalanus_plumchrus,Neocalanus
Neotrypaea_californiensis_Zoea_I,Neotrypaea_californiensis_Zoea
Neotrypaea_californiensis_Zoea_II,Neotrypaea_californiensis_Zoea
Neotrypaea_californiensis_Zoea_III,Neotrypaea_californiensis_Zoea
Oikopleura,Oikopleura
Oithona,Cyclopoida
Oregonia_gracilis_Zoea_II,Oregonia_gracilis_Zoea_II
Ostracoda,Crustacea
Paguridae_Zoea_IV,Anomura_Zoea
Pagurus_ochotensis_Megalopa,Anomura_Zoea
Pandalidae_Zoea,Pandalidae_Zoea
Pandalus_eous_Zoea_IV,Pandalus_Zoea
Pandalus_jordani_Zoea V,Pandalus_Zoea
Pandalus_jordani_Zoea_VI,Pandalus_Zoea
Pandalus_Zoea,Pandalus_Zoea
Paracalanus_parvus,Paracalanus_parvus
Paraeuchaeta_elongata,Calanoida
Pellet_Detritus,Detritus
Phaeophyceae,Detritus
Pinnixa_Megalopa,Pinnotheridae_Larvae
Pinnotheres_Megalopa,Pinnotheridae_Larvae
Pinnotheres_taylori_Zoea_I,Pinnotheridae_Larvae
Pinnotheridae_Zoea,Pinnotheridae_Larvae
Pleocyemata_Larvae,Pleocyemata_Larvae
Pleocyemata_Zoea,Pleocyemata_Larvae
Pleuronectidae_Egg,Pleuronectidae_Egg
Pleuronichthys_coenosus_Egg,Pleuronectidae_Egg
Podon_leuckartii,Podon
Podon_polyphemoides,Podon
Podonidae,Podonidae
Polychaeta_Nectochaete,Polychaeta_Nectochaete
Porcelain_Object,Objects
