old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Acartia,Acartia,Acartia,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Acartia_clausi,Acartia,Acartia,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Acartia_longiremis,Acartia_longiremis,Acartia,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Actinopterygii_Larvae,Actinopterygii_Larvae,Actinopterygii_Larvae,Fish,Fish,Pelagic,Non-gelatinous,Fish,Fish,Other
Aetideus_divergens,Aetideus_divergens,Aetideus_divergens,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Amphibalanus_improvisus_Cyprid,Balanomorpha_Cyprid,Balanomorpha_Cyprid,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Anomura_Zoea,Anomura_Zoea,Anomura_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Aoroides_columbiae,Senticaudata,Gammarida,Amphipods,Other,Nearshore,Non-gelatinous,Crustacean,Benthic,Crustacean
Araneae,Arthropoda,Arachnida,Insects,Other,Nearshore,Non-gelatinous,Insects,Insects,Other
Asteroidea_Brachiolaria,Asteroidea_Brachiolaria,Echinodermata,Echinoderms,Other,Nearshore,Non-gelatinous,Echinoderms,Meroplankton,Other
Balanomorpha,Balanomorpha,Balanomorpha,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Balanomorpha_Cyprid,Balanomorpha_Cyprid,Balanomorpha_Cyprid,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Balanomorpha_Molt,Balanomorpha_Molt,Balanomorpha,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Balanomorpha_Nauplii,Balanomorpha_Nauplii,Balanomorpha_Nauplii,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Balanus_crenatus_Cyprid,Balanus_crenatus_Cyprid,Balanomorpha_Cyprid,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Balanus_glandula_Cyprid,Balanus_glandula_Cyprid,Balanomorpha_Cyprid,Barnacles,Other,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Brachyura_Megalopa,Brachyura_Larvae,Decapoda_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Brachyura_Zoea,Brachyura_Larvae,Decapoda_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
