old_category,new_category
Acartia,Calanoids_Small
Acartia_clausi,Calanoids_Small
Acartia_longiremis,Calanoids_Small
Actinopterygii_Egg,Fish
Actinopterygii_Larvae,Fish
Aetideus_divergens,Calanoids_Small
Alienacanthomysis_macropsis,Other
Americorophium_salmonis,Other
Ammodytes_hexapterus_Juvenile,Fish
Amphibalanus_improvisus_Cyprid,Other
Amphipoda,Digested
Anomura_Zoea,Decapods
Aoroides_columbiae,Other
Araneae,Other
Asteroidea_Brachiolaria,Other
Balanomorpha,Other
Balanomorpha_Cyprid,Other
Balanomorpha_Juvenile,Other
Balanomorpha_Molt,Other
Balanomorpha_Nauplii,Other
Balanus_crenatus_Cyprid,Other
Balanus_glandula_Cyprid,Other
Brachyura_Juvenile,Decapods
Brachyura_Megalopa,Decapods
Brachyura_Zoea,Decapods
Bryozoa_Larvae,Other
Calanidae_Nauplii,Calanoids_Small
Calanoida,Calanoids
Calanoida_Copepodite,Calanoids_Small
Calanoida_Copepodite,Calanoids_Small
Calanoida_Egg,Calanoids_Large
Calanus,Calanoids_Large
Calanus_marshallae,Calanoids_Large
Calanus_pacificus,Calanoids_Large
Cancer_antennarius_Megalopa,Decapods
Cancer_antennarius_Zoea_II,Decapods
Cancer_antennarius_Zoea_IV,Decapods
Cancer_gracilis_Zoea_II,Decapods
Cancer_gracilis_Zoea_III,Decapods
Cancer_gracilis_Zoea_V,Decapods
Cancer_Megalopa,Decapods
Cancer_oregonensis_Zoea_II,Decapods
Cancer_oregonensis_Zoea_III,Decapods
Cancer_oregonensis_Zoea_IV,Decapods
Cancer_productus_Megalopa,Decapods
Cancer_productus_Zoea_II,Decapods
Cancer_productus_Zoea_IV,Decapods
Cancer_Zoea,Decapods
Candacia_columbiae,Calanoids_Large
Caprella,Other
Caprella_californica,Other
Caprella_laeviuscula,Other
Caridea_Zoea,Decapods
Centropages_abdominalis,Calanoids_Small
Chironomidae_Larvae,Other
Cnidaria,Gelatinous
Coleoptera,Other
Copepoda,Copepods_Other
Coscinodiscophycidae,Other
Crustacea,Digested
Ctenophora,Gelatinous
Culicomorpha,Other
Culicomorpha_Larvae,Other
Cumacea,Other
Cyclopoida,Copepods_Other
Cyphocaris_challengeri,Other
Detritus,Other
Digested_food,Digested
Digested_food_worms,Digested
Diptera,Other
Diptera_Larvae,Other
Diptera_Pupae,Other
Ditrichocorycaeus_anglicus,Copepods_Other
Ditrichocorycaeus_anglicus_Copepodite,Copepods_Other
Echinodermata_Larvae,Other
Empty,Other
Epilabidocera_amphrites,Calanoids_Large
Epilabidocera_amphrites_Copepodite,Calanoids_Small
Epilabidocera_amphrites_Copepodite_CIII,Calanoids_Small
Epilabidocera_amphrites_Copepodite_CV,Calanoids_Large
Eualus_suckleyi_Zoea_I,Decapods
Eucalanus,Calanoids_Large
Eucalanus_bungii,Calanoids_Large
Eucalanus_hyalinus,Calanoids_Large
Eukrohnia_hamata,Chaetognaths
Eumalacostraca_Larvae,Digested
Euphausia_pacifica,Euphausiids
Euphausiidae,Euphausiids
Euphausiidae_Calyptopis,Euphausiids
Euphausiidae_Egg,Euph_eggs
Euphausiidae_Furcilia,Euphausiids
Euphausiidae_Juvenile,Euphausiids
Euphausiidae_Nauplii,Euphausiids
Eurytemora_affinis,Calanoids_Small
Evadne,Other
Evadne_normanni,Other
Evadne_tergestina,Other
Fabia_subquadrata_Zoea,Decapods
Fabia_subquadrata_Zoea_III,Decapods
Formicidae,Other
Glass_Object,Other
Goop,Digested
Harpacticoida,Copepods_Other
Harpacticus,Copepods_Other
Hemigrapsus_nudus_Zoea,Decapods
Hemigrapsus_nudus_Zoea V,Decapods
Hemigrapsus_nudus_Zoea_I,Decapods
Hemigrapsus_nudus_Zoea_II,Decapods
Hemigrapsus_nudus_Zoea_III,Decapods
Hemigrapsus_oregonensis_Megalopa,Decapods
Hemigrapsus_oregonensis_Zoea_I,Decapods
Hemigrapsus_Zoea,Decapods
Hyale,Other
Hydrachnidia,Other
Hyperia,Other
Hyperiidae,Other
Hyperiidae_Juvenile,Other
Hyperoche,Other
Hyperoche_mediterranea,Other
Hyperoche_medusarum,Other
Insecta,Other
Insecta_Larvae,Other
Isopoda_Juvenile,Other
Isopoda_Larvae,Other
Kellia_suborbicularis_Veliger,Other
Lepeophtheirus_salmonis_Juvenile,Other
Limacina_helicina,Other
Lophopanopeus_bellus_bellus_Zoea_II,Decapods
Lophopanopeus_bellus_Megalopa,Decapods
Lophopanopeus_bellus_Zoea,Decapods
Lophopanopeus_bellus_Zoea_I,Decapods
Lophopanopeus_bellus_Zoea_II,Decapods
Lophopanopeus_bellus_Zoea_III,Decapods
Lophopanopeus_bellus_Zoea_IV,Decapods
Macroplastic_Object,Other
Mesocalanus_tenuicornis,Calanoids_Large
Metridia,Calanoids_Large
Metridia_curticaudata,Calanoids_Large
Metridia_lucens,Calanoids_Large
Metriocnemus_Larvae,Other
Microcalanus_pygmaeus_pusillus,Calanoids_Small
Microplastic_chunk_Object,Other
Microplastic_fiber_Object,Other
Microplastic_film_Object,Other
Microplastic_Object,Other
Microsetella_rosea,Copepods_Other
Microstomus_pacificus_Egg,Fish
Monocorophium,Other
Monstrilla_helgolandica,Copepods_Other
Monstrilla_spinosa,Copepods_Other
Nannastacidae,Other
Nematoda,Other
Nematoscelis_difficilis,Euphausiids
Neocalanus_cristatus,Calanoids_Large
Neocalanus_plumchrus,Calanoids_Large
Neotrypaea_californiensis_Zoea_I,Decapods
Neotrypaea_californiensis_Zoea_II,Decapods
Neotrypaea_californiensis_Zoea_III,Decapods
Oikopleura,Larvaceans
Oithona,Copepods_Other
Oncaea,Copepods_Other
Oncaea_englishi,Copepods_Other
Oregonia_gracilis_Megalopa,Decapods
Oregonia_gracilis_Zoea_I,Decapods
Oregonia_gracilis_Zoea_II,Decapods
Ostracoda,Other
Paguridae_Zoea_I,Decapods
Paguridae_Zoea_IV,Decapods
Pagurus_granosimanus_Zoea_II,Decapods
Pagurus_ochotensis_Megalopa,Decapods
Pandalidae_Zoea,Decapods
Pandalus_eous_Zoea_IV,Decapods
Pandalus_jordani_Zoea V,Decapods
Pandalus_jordani_Zoea_VI,Decapods
Pandalus_Zoea,Decapods
Paracalanus_parvus,Calanoids_Small
Paraeuchaeta_elongata,Calanoids_Large
Pellet_Detritus,Other
Phaeophyceae,Other
Pinnixa_Megalopa,Decapods
Pinnotheres_Megalopa,Decapods
Pinnotheres_taylori_Zoea_I,Decapods
Pinnotheridae_Zoea,Decapods
Pleocyemata_Larvae,Digested
Pleocyemata_Zoea,Digested
Pleuronectidae_Egg,Fish
Pleuronichthys_coenosus_Egg,Fish
Podon,Other
Podon_leuckartii,Other
Podon_polyphemoides,Other
Podonidae,Other
Polychaeta_Nectochaete,Other
Porcelain_Object,Other
Porcellanidae_Zoea,Decapods
Porcellanidae_Zoea_II,Decapods
Primno_macropa,Other
Pseudocalanus,Calanoids_Small
Pteropoda,Other
Pteropoda_Egg,Other
Pteropoda_Veliger,Other
Pugettia_Megalopa,Decapods
Pugettia_producta_Megalopa,Decapods
Pugettia_richii_Megalopa,Decapods
Rock_Object,Other
Sagittoidea,Chaetognaths
Sarsamphiascus,Copepods_Other
Semibalanus_balanoides_Cyprid,Other
Senticaudata,Other
Senticaudata_Juvenile,Other
Siphonophorae,Gelatinous
Spionidae_Nectochaete,Other
