old_category,new_taxa,new_category,category
Acartia,Acartia,Calanoids,Calanoids
Acartia_clausi,Acartia,Calanoids,Calanoids
Acartia_longiremis,Acartia_longiremis,Calanoids,Calanoids
Actinopterygii_Egg,Actinopterygii_Egg,Eggs,Eggs
Actinopterygii_Larvae,Actinopterygii,Fish,Fish
Aetideus_divergens,Aetideus_divergens,Calanoids,Calanoids
Alienacanthomysis_macropsis,Eumalacostraca,Other,Mysids
Americorophium_salmonis,Corophiida,Other,Amphipods
Ammodytes_hexapterus_Juvenile,Actinopterygii,Fish,Fish
Amphibalanus_improvisus_Cyprid,Balanomorpha_Cyprid,Barnacles,Barnacles
Amphipoda,Eumalacostraca,Other,Amphipods
Anomura_Zoea,Anomura_Zoea,Decapods,Decapods
Aoroides_columbiae,Corophiida,Other,Amphipods
Araneae,Arthropoda,Other,Insects
Asteroidea_Brachiolaria,Echinodermata_Larvae,Echinoderms,Echinoderms
Balanomorpha,Balanomorpha,Barnacles,Barnacles
Balanomorpha_Cyprid,Balanomorpha_Cyprid,Barnacles,Barnacles
Balanomorpha_Juvenile,Balanomorpha_Juvenile,Barnacles,Barnacles
Balanomorpha_Molt,Balanomorpha_Molt,Barnacles,Barnacles
Balanomorpha_Nauplii,Balanomorpha_Nauplii,Barnacles,Barnacles
Balanus_crenatus_Cyprid,Balanus_crenatus_Cyprid,Barnacles,Barnacles
Balanus_glandula_Cyprid,Balanus_glandula_Cyprid,Barnacles,Barnacles
Brachyura_Juvenile,Brachyura_Larvae,Decapods,Decapods
Brachyura_Megalopa,Brachyura_Larvae,Decapods,Decapods
Brachyura_Zoea,Brachyura_Larvae,Decapods,Decapods
Bryozoa_Larvae,Bryozoa_Larvae,Other,Bryozoa
Calanidae_Nauplii,Calanoida_Larvae,Calanoids,Calanoids
Calanoida,Calanoida,Calanoids,Calanoids
Calanoida_Copepodite,Calanoida_Larvae,Calanoids,Calanoids
Calanoida_Egg,Calanoida,Calanoids,Calanoids
Calanus,Calanus,Calanoids,Calanoids
Calanus_marshallae,Calanus_marshallae,Calanoids,Calanoids
Calanus_pacificus,Calanus_pacificus,Calanoids,Calanoids
Cancer_antennarius_Megalopa,Cancer_Larvae,Decapods,Decapods
Cancer_antennarius_Zoea_II,Cancer_Larvae,Decapods,Decapods
Cancer_antennarius_Zoea_IV,Cancer_Larvae,Decapods,Decapods
Cancer_gracilis_Zoea_II,Cancer_gracilis_Zoea,Decapods,Decapods
Cancer_gracilis_Zoea_III,Cancer_gracilis_Zoea,Decapods,Decapods
Cancer_gracilis_Zoea_V,Cancer_gracilis_Zoea,Decapods,Decapods
Cancer_Megalopa,Cancer_Larvae,Decapods,Decapods
Cancer_oregonensis_Zoea_II,Cancer_Larvae,Decapods,Decapods
Cancer_oregonensis_Zoea_III,Cancer_Larvae,Decapods,Decapods
Cancer_oregonensis_Zoea_IV,Cancer_Larvae,Decapods,Decapods
Cancer_productus_Megalopa,Cancer_Larvae,Decapods,Decapods
Cancer_productus_Zoea_II,Cancer_Larvae,Decapods,Decapods
Cancer_productus_Zoea_IV,Cancer_Larvae,Decapods,Decapods
Cancer_Zoea,Cancer_Larvae,Decapods,Decapods
Candacia_columbiae,Calanoida,Calanoids,Calanoids
Caprella,Corophiida,Other,Amphipods
Caprella_californica,Corophiida,Other,Amphipods
Caprella_laeviuscula,Corophiida,Other,Amphipods
Caridea_Zoea,Caridea_Zoea,Decapods,Decapods
Centropages_abdominalis,Centropages_abdominalis,Calanoids,Calanoids
