taxa_detail_calc,taxa_group
Actinopterygii_Larvae,Fish
Oregonia_gracilis_Zoea_II,Decapods
Eualus_suckleyi_Zoea_I,Decapods
Euphausiidae_Furcilia,Euphausiid_Larvae
Balanus_glandula_Cyprid,Barnacles
Balanomorpha,Barnacles
Harpacticus,Harpacticoids
Calanus_marshallae,Calanoids_Large
Calanus_pacificus,Calanoids_Large
Metridia_lucens,Calanoids_Large
Coscinodiscophycidae,Algae
Mesocalanus_tenuicornis,Calanoids_Large
Metridia_curticaudata,Calanoids_Large
Pseudocalanus,Calanoids_Small
Calanoida,Calanoids_Small
Oikopleura,Larvaceans
Balanomorpha_Molt,Barnacles
Themisto_pacifica,Hyperiids
Euphausiidae_Calyptopis,Euphausiid_Larvae
Porcellanidae_Zoea,Decapods
Digested_food,Digested
Balanomorpha_Cyprid,Barnacles
Senticaudata,Gammarids
Ditrichocorycaeus_anglicus,Cyclopoids
Calanoida,Calanoids_Large
Euphausiidae,Euphausiids
Hyperia,Hyperiids
Culicomorpha,Insects
Podon_leuckartii,Cladocerans
Porcellanidae_Zoea_II,Decapods
Empty,Empty
Podon_polyphemoides,Cladocerans
Pteropoda_Veliger,Pteropods
Siphonophorae,Cnidaria
Balanomorpha_Nauplii,Barnacles
Crustacea,Digested
Trematoda_Parasite,Parasites
Spionidae_Nectochaete,Polychaetes
Aoroides_columbiae,Corophiids
Isopoda_Juvenile,Isopods
Microcalanus_pygmaeus_pusillus,Calanoids_Small
Calanus,Calanoids_Large
Insecta,Insects
Diptera_Pupae,Insects
Hyale,Gammarids
Balanus_crenatus_Cyprid,Barnacles
Caprella_californica,Caprellids
Brachyura_Zoea,Decapods
Hyperiidae,Hyperiids
Centropages_abdominalis,Calanoids_Small
Harpacticoida,Harpacticoids
Monocorophium,Corophiids
Caprella,Caprellids
Pleuronichthys_coenosus_Egg,Fish_Eggs
Glass_Object,Objects
Evadne_tergestina,Cladocerans
Amphipoda,Digested
Pinnixa_Megalopa,Decapods
Eumalacostraca_Larvae,Digested
Detritus,Detritus
Pagurus_ochotensis_Megalopa,Decapods
Porcelain_Object,Objects
Cumacea,Cumacean
Calanidae_Nauplii,Calanoids_Small
Hyperiidae_Juvenile,Hyperiids
Hyperoche_medusarum,Hyperiids
Hyperoche,Hyperiids
Neotrypaea_californiensis_Zoea_III,Decapods
Eucalanus_bungii,Calanoids_Large
Eucalanus,Calanoids_Large
Euphausia_pacifica,Euphausiids
Thysanoessa_spinifera,Euphausiids
Thysanoessa_inermis,Euphausiids
Thysanoessa,Euphausiids
Euphausiidae_Juvenile,Euphausiids
Eukrohnia_hamata,Chaetognaths
Pandalidae_Zoea,Decapods
Epilabidocera_amphrites,Calanoids_Large
Sagittoidea,Chaetognaths
Thysanoessa_raschii,Euphausiids
Tortanus_discaudatus,Calanoids_Small
Ammodytes_hexapterus_Juvenile,Fish
Cyclopoida,Cyclopoids
Amphibalanus_improvisus_Cyprid,Barnacles
Pandalus_Zoea,Decapods
Neocalanus_plumchrus,Calanoids_Large
Aetideus_divergens,Calanoids_Small
Microplastic_chunk_Object,Objects
Pteropoda_Egg,Pteropods
Bryozoa_Larvae,Cyphonauts
Kellia_suborbicularis_Veliger,Bivalves
Podonidae,Cladocerans
Nematoda,Parasites
Cancer_productus_Megalopa,Decapods
Caridea_Zoea,Decapods
Ostracoda,Ostracods
Pandalus_jordani_Zoea_VI,Decapods
Neotrypaea_californiensis_Zoea_I,Decapods
Hemigrapsus_nudus_Zoea,Decapods
Evadne_normanni,Cladocerans
Euphausiidae_Egg,Euph_eggs
Hydrachnidia,Arachnids
Diptera,Insects
Calanoida_Copepodite,Calanoids_Small
Cancer_gracilis_Zoea_V,Decapods
Neocalanus_cristatus,Calanoids_Large
Nematoscelis_difficilis,Euphausiids
Calanoida_Copepodite,Small_Calanoids
Nannastacidae,Cumacean
Cancer_antennarius_Zoea_IV,Decapods
Lepeophtheirus_salmonis_Juvenile,Parasites
Metridia,Calanoids_Large
Hyperoche_mediterranea,Hyperiids
Neotrypaea_californiensis_Zoea_II,Decapods
Pandalus_jordani_Zoea V,Decapods
Goop,Digested
Eucalanus_hyalinus,Calanoids_Large
Culicomorpha_Larvae,Insects
Acartia_longiremis,Calanoids_Small
Eurytemora_affinis,Calanoids_Small
Limacina_helicina,Pteropods
Polychaeta_Nectochaete,Polychaetes
Euphausiidae_Nauplii,Euphausiid_Larvae
Paracalanus_parvus,Calanoids_Small
Lophopanopeus_bellus_bellus_Zoea_II,Decapods
Tisbe,Harpacticoids
Araneae,Arachnids
Balanomorpha_Juvenile,Barnacles
Oncaea,Cyclopoids
Pleocyemata_Zoea,Digested
Asteroidea_Brachiolaria,Echinoderms
Phaeophyceae,Algae
Pleocyemata_Larvae,Digested
Cancer_productus_Zoea_II,Decapods
Paguridae_Zoea_I,Decapods
Hemigrapsus_nudus_Zoea_II,Decapods
Pagurus_granosimanus_Zoea_II,Decapods
Calanoida_Egg,Calanoids_Large
Copepoda,Digested
Echinodermata_Larvae,Echinoderms
Microsetella_rosea,Harpacticoids
Insecta_Larvae,Insects
