semsp_id,date_site_sp,date_site_id,date_id_names
2015-05-21-D07-PI-1,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-2,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-3,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-4,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-5,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-6,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-7,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-8,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-9,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-PI-10,2015-05-21-D07-PI,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-1,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-2,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-3,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-4,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-5,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-6,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-7,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-8,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-9,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-05-21-D07-CU-10,2015-05-21-D07-CU,2015-05-21-D07,DI_Early_15
2015-06-02-J07-PI-1,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-2,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-3,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-4,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-5,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-6,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-7,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-8,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-9,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-PI-10,2015-06-02-J07-PI,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-1,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-2,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-3,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-4,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-5,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-6,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-7,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-8,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-9,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-02-J07-CU-10,2015-06-02-J07-CU,2015-06-02-J07,JS_June_Early_15
2015-06-05-D07-PI-1,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-2,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-3,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-4,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-5,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-6,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-7,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-8,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-9,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-PI-10,2015-06-05-D07-PI,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-1,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-2,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-3,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-4,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-5,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-6,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
2015-06-05-D07-CU-7,2015-06-05-D07-CU,2015-06-05-D07,DI_June_Early_15
