sampleID,site,location,region,date,depth,mesh,flowin,flowout,distance,duration,volume,vol.cor,sieve,fraction.proc,sizeclass,phylum,class,order,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,stage,sex,length,count,totcount,abundance,lab.processor,processor.notes
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,02-Jan,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,1,1,0.04,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,246,24600,927.47,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,43,4300,162.12,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,1,100,3.77,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,Calanus marshallae,NA,NA,3.6,101,101,3.81,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,1000,1,05-Feb,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.8,12,12,0.45,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,F,<2,2,200,7.54,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,2,200,7.54,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,02-Jan,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,NA,<2,2,200,7.54,Andrea Le,
JSPK1054,J07,JS,South,2015-06-14,0,250,230011,234844,129.8773389,NA,25.48842775,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,13,1300,49.01,Andrea Le,
