sample_id,vol_cor,sieve,fraction_proc,size_class,phylum,class,order,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,stage,sex,length,count,tot_count,abundance,lab_processor,sample_time,ww,biomass,processor_notes
JSPK1054,26.52385685,1000,1,1 to 2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,1,1,0.04,Andrea Le,NA,207.1,7.808065063,NA
JSPK1054,26.52385685,250,0.01,1 to 2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,246,24600,927.47,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,43,4300,162.12,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,1,100,3.77,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,1000,1,2 to 5,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,Calanus marshallae,NA,NA,3.6,101,101,3.81,Andrea Le,NA,207.1,7.808065063,NA
JSPK1054,26.52385685,1000,1,2 to 5,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.8,12,12,0.45,Andrea Le,NA,207.1,7.808065063,NA
JSPK1054,26.52385685,250,0.01,1 to 2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,F,<2,2,200,7.54,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,1 to 2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,2,200,7.54,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,1 to 2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,NA,<2,2,200,7.54,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,13,1300,49.01,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,<1,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C1,NA,<2,6,600,22.62,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Corycaeus,NA,Other,Corycaeus,Corycaeus,Corycaeus,NA,NA,<2,24,2400,90.48,Andrea Le,NA,5189.9,195.6691302,NA
JSPK1054,26.52385685,250,0.01,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Cyprid,NA,NA,<2,3,300,11.31,Andrea Le,NA,5189.9,195.6691302,NA
