sampleID,site,location,date,depth,mesh,flowin,flowout,sample.time,duration,vol.cor,sieve,ww,biomass,processor.notes
QPK1041,D07,DI,2015-06-05,0,250,80490,83309,15:27,NA,15.0608478,250,2824.3,187.5259638,
QPK1041,D07,DI,2015-06-05,0,250,80490,83309,15:27,NA,15.0608478,1000,1084,71.97469986,
QPK1041,D07,DI,2015-06-05,0,250,80490,83309,15:27,NA,15.0608478,2000,14838.6,985.2433407,gelatinous
QPK751,D07,DI,2016-06-16,0,250,384430,385776,14:27,0:01:45,7.277517206,250,945.6,129.9344231,
QPK751,D07,DI,2016-06-16,0,250,384430,385776,14:27,0:01:45,7.277517206,1000,6.4,0.8794208,
QPK751,D07,DI,2016-06-16,0,250,384430,385776,14:27,0:01:45,7.277517206,2000,853.5,117.2790082,gelatinous
QPK731,D07,DI,2016-06-03,0,250,340226,341210,14:51,0:01:17,5.285355957,250,4154.6,786.0586938,
QPK731,D07,DI,2016-06-03,0,250,340226,341210,14:51,0:01:17,5.285355957,1000,472.3,89.36011195,
QPK731,D07,DI,2016-06-03,0,250,340226,341210,14:51,0:01:17,5.285355957,2000,96.8,18.31475511,gelatinous
QPK1019,D07,DI,2015-05-21,0,250,29274,29272,15:03,0:03:01,11.25197,250,3363.8,298.9520946,
QPK1019,D07,DI,2015-05-21,0,250,29274,29272,15:03,0:03:01,11.25197,1000,22.7,2.017424504,
QPK1049,D07,DI,2015-06-13,0,250,104000,107151,16:38,0:03:01,16.88057615,250,332.1,19.67349912,
QPK1049,D07,DI,2015-06-13,0,250,104000,107151,16:38,0:03:01,16.88057615,1000,7.7,0.456145568,
QPK1049,D07,DI,2015-06-13,0,250,104000,107151,16:38,0:03:01,16.88057615,2000,0.8,0.047391747,gelatinous
JSPK1054,J07,JS,2015-06-14,0,250,230011,234844,NA,NA,26.52385685,250,5189.9,195.6691302,
JSPK1054,J07,JS,2015-06-14,0,250,230011,234844,NA,NA,26.52385685,1000,207.1,7.808065063,
JSPK1054,J07,JS,2015-06-14,0,250,230011,234844,NA,NA,26.52385685,2000,207.8,7.834456398,non-gelatinous
JSPK1112,J07,JS,2016-06-03,0,250,629297,633090,17:47,0:02:02,21.70554094,250,8549,393.8625636,
JSPK1112,J07,JS,2016-06-03,0,250,629297,633090,17:47,0:02:02,21.70554094,1000,37,1.704633858,
JSPK1112,J07,JS,2016-06-03,0,250,629297,633090,17:47,0:02:02,21.70554094,2000,10819.6,498.4717971,gelatinous
JSPK1135,J07,JS,2016-06-20,0,250,688676,691262,7:22,0:01:59,15.03887957,250,1434.4,95.37944588,
JSPK1135,J07,JS,2016-06-20,0,250,688676,691262,7:22,0:01:59,15.03887957,1000,247.2,16.43739474,
JSPK1135,J07,JS,2016-06-20,0,250,688676,691262,7:22,0:01:59,15.03887957,2000,4.4,0.292574987,non-gelatinous
JSPK1135,J07,JS,2016-06-20,0,250,688676,691262,7:22,0:01:59,15.03887957,2000,13678.5,909.5424919,gelatinous
JSPK1093,J07,JS,2015-06-29,0,250,371340,374247,NA,NA,16.41211502,250,4509.5,274.7665365,
JSPK1093,J07,JS,2015-06-29,0,250,371340,374247,NA,NA,16.41211502,1000,72.3,4.405282312,
JSPK1093,J07,JS,2015-06-29,0,250,371340,374247,NA,NA,16.41211502,2000,140.8,8.579028348,
QPK734,D11,DI,2016-06-08,0,250,347632,352247,NA,0:05:33,24.81309314,2000,1210.8,48.7968184,gelatinous
QPK734,D11,DI,2016-06-08,0,250,347632,352247,NA,0:05:33,24.81309314,2000,181.1,7.298566083,non-gelatinous
QPK734,D11,DI,2016-06-08,0,250,347632,352247,NA,0:05:33,24.81309314,1000,209.6,8.447153235,
QPK734,D11,DI,2016-06-08,0,250,347632,352247,NA,0:05:33,24.81309314,250,2363.7,95.26019133,
QPK711,D07,DI,2016-05-19,0,250,294353,294814,NA,0:02:11,2.45899521,2000,162.1,65.92123455,gelatinous
QPK711,D07,DI,2016-05-19,0,250,294353,294814,NA,0:02:11,2.45899521,1000,7.1,2.887358207,
QPK711,D07,DI,2016-05-19,0,250,294353,294814,NA,0:02:11,2.45899521,250,2800.3,1138.798477,
QPK1043,D07,DI,2015-06-07,0,250,86160,88845,NA,0:03:01,14.3561305,2000,189.4,13.19297007,gelatinous
QPK1043,D07,DI,2015-06-07,0,250,86160,88845,NA,0:03:01,14.3561305,1000,10.4,0.724429191,
QPK1043,D07,DI,2015-06-07,0,250,86160,88845,NA,0:03:01,14.3561305,250,2484,173.0271259,
JSPK1031,J07,JS,2015-06-02,0,250,140239,145021,NA,NA,25.79936958,2000,23.4,0.906998907,gelatinous
JSPK1031,J07,JS,2015-06-02,0,250,140239,145021,NA,NA,25.79936958,2000,4.1,0.158918612,non-gelatinous
JSPK1031,J07,JS,2015-06-02,0,250,140239,145021,NA,NA,25.79936958,1000,12,0.465127644,
