old_category,new_category,zoop_category*,zoop_category_general,temp_category,temp_temp_category
Acartia,Calanoids,Acartia,Calanoids_Small,Calanoids,Calanoids
Aequorea victoria,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Aetidius divergens,Calanoids,Aetideus_divergens,Calanoids_Small,Calanoids,Calanoids
Aglantha digitale,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Amphinema platytiedos,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Amphipod,Other,Gammarida,Amphipods,Other,Amphipods
Annatiara affinis,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Anomuran,Decapods,Anomura_Zoea,Decapods,Decapods,Decapods
Barnacle Nauplius,Other,Balanomorpha_Nauplii,Barnacles,Barnacles,Barnacles
Bivalve veliger,Other,Bivalvia_Veliger,Bivalves,Other,Other
Bryozoa,Other,Bryozoa,Bryozoa,Other,Other
Calanoid Copepod,Calanoids,Calanoida,Calanoids_Small,Calanoids,Calanoids
Calanus copedite,Calanoids,Copepodite,Calanoids_Small,Calanoids,Calanoids
Calanus marshallae,Calanoids,Calanus_marshallae,Calanoids_Large,Calanoids,Calanoids
Calanus pacificus,Calanoids,Calanus_pacificus,Calanoids_Large,Calanoids,Calanoids
Caligus,Other,Parasite,Parasite,Other,Other
Callianassidae zoea,Decapods,Callianassidae_Zoea,Decapods,Decapods,Decapods
Cancridae,Decapods,Cancridae_Megalopa,Decapods,Decapods,Decapods
Cancridae megalopa,Decapods,Cancridae_Megalopa,Decapods,Decapods,Decapods
Cancridae zoea,Decapods,Cancridae_Zoea,Decapods,Decapods,Decapods
Centropages abdominalis,Calanoids,Centropages_abdominalis,Calanoids_Small,Calanoids,Calanoids
Chaetognath,Chaetognath,Chaetognatha,Chaetognath,Chaetognaths,Chaetognaths
Clytia,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Copepod nauplius,Calanoids,Calanoida_Nauplii,Calanoids_Small,Calanoids,Calanoids
Copepodite,Calanoids,Copepodite,Calanoids_Small,Calanoids,Calanoids
Corycaeus,Cyclopoids,Ditrichocorycaeus,Cyclopoids,Other,Cyclopoids
Crangonidae,Decapods,Caridea_Larvae,Decapods,Decapods,Decapods
Ctenophore,Gelatinous,Ctenophora,Gelatinous,Gelatinous,Gelatinous
Cyclopoid Copepod,Cyclopoids,Cyclopoida,Cyclopoids,Other,Cyclopoids
Cydippid Ctenophore,Gelatinous,Ctenophora,Gelatinous,Gelatinous,Gelatinous
Cyphonautes Larva,Other,Bryozoa,Bryozoa,Other,Other
Cyprid,Other,Balanomorpha_Cyprid,Barnacles,Barnacles,Barnacles
Cyprid Larva,Other,Balanomorpha_Cyprid,Barnacles,Barnacles,Barnacles
Decapoda,Decapods,Decapoda_Larvae,Decapods,Decapods,Decapods
Diptera,Insects,Insects,Insects,Other,Insects
Echinodermata,Other,Echinodermata,Echinoderms,Echinoderms,Echinoderms
Egg,Other,Eggs,Eggs,Eggs,Eggs
Egg (fish),Other,Fish_Egg,Eggs,Eggs,Eggs
Egg (oily),Other,Eggs,Eggs,Eggs,Eggs
Epilabidocera longipedata,Calanoids,Epilabidocera_amphrites,Calanoids_Large,Calanoids,Calanoids
Eucalanus,Calanoids,Eucalanus,Calanoids_Large,Calanoids,Calanoids
Euphausiid calytopsis,Euphausiids,Euphausiidae_Calyptopis,Euphausiids,Other,Euphausiids
Euphausiid egg,Euphausiids,Euphausiidae_Eggs,Eggs,Eggs,Eggs
Euphausiid furcilia larvae,Euphausiids,Euphausiidae_Furcilia,Euphausiids,Other,Euphausiids
Euphausiid nauplius,Euphausiids,Euphausiidae_Nauplii,Euphausiids,Other,Euphausiids
Euphysa,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Evadne,Other,Evadne,Cladocerans,Cladocerans,Cladocerans
Evadne sp.,Other,Evadne,Cladocerans,Cladocerans,Cladocerans
Fabia subquadrata zoea,Decapods,Fabia_subquadrata_Zoea,Decapods,Decapods,Decapods
Fish egg,Other,Fish_Egg,Eggs,Eggs,Eggs
Flatworm,Other,Parasite,Parasite,Other,Other
Gammarid,Other,Gammarida,Amphipods,Other,Amphipods
Gastropod,Other,Gastropoda,Gastropods,Other,Other
Gastropod egg,Other,Gastropoda,Eggs,Eggs,Eggs
Gastropod veliger,Other,Gastropoda,Gastropods,Other,Other
Grapsidae,Decapods,Grapsidae_Larvae,Decapods,Decapods,Decapods
Halimedusa typus,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Halitholus,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Harpacticoid,Harpacticoids,Harpacticoida,Harpacticoids,Other,Other
Harpacticoid spp,Harpacticoids,Harpacticoida,Harpacticoids,Other,Other
Hippolytidae zoea,Decapods,Thoridae_Zoea,Decapods,Decapods,Decapods
Hydromedusae,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Hydrozoan,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Hyperiid (themisto),Other,Themisto_pacifica,Amphipods,Other,Other
Hyperiid amphipod,Other,Hyperiidae,Amphipods,Other,Other
Leptomedusae,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Leuckartiara,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Leuckartiara spp,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Majidae,Decapods,Oregoniidae_Larvae,Decapods,Decapods,Decapods
Metridia,Calanoids,Metridia,Calanoids_Large,Calanoids,Calanoids
Microsetella,Harpacticoids,Harpacticoida,Harpacticoids,Other,Other
Nauplius Larva,Other,Balanomorpha_Nauplii,Barnacles,Barnacles,Barnacles
Oikopleura,Larvaceans,Oikopleura,Larvaceans,Larvaceans,Larvaceans
Oikopleura sp.,Larvaceans,Oikopleura,Larvaceans,Larvaceans,Larvaceans
Oithona,Cyclopoids,Oithona,Cyclopoids,Other,Other
Oncaea,Cyclopoids,Oncaeidae,Cyclopoids,Other,Other
Pandalidae,Decapods,Pandalidae_Larvae,Decapods,Decapods,Decapods
Pandeidae,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Paracalanus,Calanoids,Paracalanus,Calanoids_Small,Calanoids,Calanoids
Paracalanus parvus,Calanoids,Paracalanus,Calanoids_Small,Calanoids,Calanoids
Pinnotheridae,Decapods,Pinnotheridae_Larvae,Decapods,Decapods,Decapods
Pleurobrachiidae,Gelatinous,Ctenophora,Gelatinous,Gelatinous,Gelatinous
Pleuronectidae (fish),Other,Actinopterygii_Larvae,Fish,Other,Other
Pleuronectidae (Hippoglossus stenolepis?),Other,Actinopterygii,Fish,Other,Other
Pluteus Larva,Other,Echinodermata,Echinoderms,Echinoderms,Echinoderms
Podon,Other,Podon,Cladocerans,Cladocerans,Cladocerans
Polychaete (spionid nectochaete),Other,Polychaeta,Polychaetes,Other,Other
Polychaete trocophore,Other,Polychaeta,Polychaetes,Other,Other
Polyp,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Porcellanidae,Decapods,Porcellanidae_Larvae,Decapods,Decapods,Decapods
Pseudocalanus,Calanoids,Pseudocalanus,Calanoids_Small,Calanoids,Calanoids
Sarsia,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Siphonophore,Gelatinous,Siphonophore,Gelatinous,Gelatinous,Gelatinous
Siphonophore pneumatophore,Gelatinous,Siphonophore,Gelatinous,Gelatinous,Gelatinous
Spionidae,Other,Polychaeta,Polychaetes,Other,Other
Syllidae,Other,Polychaeta,Polychaetes,Other,Other
Tortanus,Calanoids,Tortanus,Calanoids_Small,Calanoids,Calanoids
Tortanus copedite,Calanoids,Tortanus,Calanoids_Small,Calanoids,Calanoids
Trochophore Larva,Other,Polychaeta,Polychaetes,Other,Other
Trocophore,Other,Polychaeta,Polychaetes,Other,Other
Veliger Larva,Other,Gastropoda,Gastropods,Other,Other
Amphinema platyhedos,Gelatinous,Cnidaria,Gelatinous,Gelatinous,Gelatinous
Barnacle nauplius,Other,Balanomorpha_Nauplii,Barnacles,Barnacles,Barnacles
chaetognath,Chaetognath,Chaetognatha,Chaetognath,Chaetognaths,Chaetognaths
Eplabidocera longipedata,Calanoids,Epilabidocera_amphrites,Calanoids_Large,Calanoids,Calanoids
