survey_date,region,species,fork_length,year
2015-05-16,D,PI,86,2015
2015-05-16,D,CU,114,2015
2015-05-16,D,CU,114,2015
2015-05-16,D,CU,122,2015
2015-05-16,D,CU,101,2015
2015-05-16,D,CU,90,2015
2015-05-19,D,CU,118,2015
2015-05-19,D,CU,120,2015
2015-05-19,D,CU,107,2015
2015-05-19,D,CU,109,2015
2015-05-19,D,CU,108,2015
2015-05-19,D,CU,120,2015
2015-05-19,D,CU,114,2015
2015-05-19,D,CU,116,2015
2015-05-19,D,CU,89,2015
2015-05-20,D,CU,99,2015
2015-05-20,D,CU,82,2015
2015-05-20,D,CU,113,2015
2015-05-20,D,CU,81,2015
2015-05-20,D,CU,76,2015
2015-05-21,D,PI,83,2015
2015-05-21,D,PI,88,2015
2015-05-21,D,PI,90,2015
2015-05-21,D,PI,80,2015
2015-05-21,D,PI,88,2015
2015-05-21,D,CU,96,2015
2015-05-21,D,CU,122,2015
2015-05-21,D,CU,90,2015
2015-05-21,D,CU,84,2015
2015-05-21,D,PI,87,2015
2015-05-21,D,CU,97,2015
2015-05-21,D,CU,91,2015
2015-05-21,D,CU,111,2015
2015-05-21,D,CU,90,2015
2015-05-23,D,CU,117,2015
2015-05-23,D,CU,113,2015
2015-05-23,D,CU,116,2015
2015-05-23,D,CU,116,2015
2015-05-23,D,CU,112,2015
2015-05-23,D,CU,113,2015
2015-05-23,D,CU,114,2015
2015-05-23,D,CU,98,2015
2015-05-23,D,CU,107,2015
2015-05-23,D,CU,117,2015
2015-05-23,D,PI,85,2015
2015-05-23,D,PI,80,2015
2015-05-26,D,CU,113,2015
2015-05-26,D,CU,104,2015
2015-05-26,D,CU,103,2015
2015-05-26,D,CU,103,2015
2015-05-26,D,CU,106,2015
2015-05-28,D,CU,119,2015
2015-05-28,D,CU,134,2015
2015-05-28,D,CU,128,2015
2015-05-28,D,CU,116,2015
2015-05-28,D,CU,114,2015
2015-05-31,D,PI,62,2015
2015-05-31,D,CU,94,2015
2015-05-31,D,CU,84,2015
2015-05-31,D,CU,101,2015
2015-05-31,D,CU,99,2015
2015-05-31,D,CU,92,2015
2015-05-31,D,CU,90,2015
2015-05-31,D,CU,106,2015
2015-05-31,D,CU,87,2015
2015-05-31,D,CU,95,2015
2015-05-31,D,CU,119,2015
2015-06-01,D,CU,130,2015
2015-06-01,D,CU,125,2015
2015-06-01,D,CU,124,2015
2015-06-01,D,CU,104,2015
2015-06-01,D,CU,106,2015
2015-06-03,D,PI,134,2015
2015-06-05,D,CU,121,2015
2015-06-05,D,CU,138,2015
2015-06-05,D,CU,113,2015
2015-06-05,D,CU,127,2015
2015-06-05,D,CU,134,2015
2015-06-05,D,CU,94,2015
2015-06-05,D,CU,86,2015
2015-06-05,D,CU,93,2015
2015-06-05,D,CU,89,2015
2015-06-05,D,CU,94,2015
2015-06-05,D,CU,90,2015
2015-06-05,D,CU,89,2015
2015-06-05,D,CU,104,2015
2015-06-05,D,CU,90,2015
2015-06-07,D,CU,124,2015
2015-06-07,D,CU,133,2015
2015-06-07,D,CU,132,2015
2015-06-07,D,CU,121,2015
2015-06-07,D,CU,118,2015
2015-06-07,D,PI,121,2015
2015-06-07,D,CU,123,2015
2015-06-07,D,PI,92,2015
2015-06-07,D,PI,100,2015
2015-06-07,D,PI,98,2015
2015-06-07,D,PI,97,2015
2015-06-07,D,PI,103,2015
2015-06-07,D,PI,98,2015
2015-06-07,D,CU,94,2015
2015-06-07,D,CU,98,2015
2015-06-07,D,CU,88,2015
2015-06-07,D,CU,93,2015
2015-06-07,D,CU,99,2015
2015-06-07,D,CU,93,2015
2015-06-07,D,CU,89,2015
2015-06-07,D,CU,95,2015
2015-06-07,D,CU,91,2015
2015-06-09,D,CU,124,2015
2015-06-09,D,CU,129,2015
2015-06-09,D,PI,122,2015
2015-06-09,D,CU,118,2015
2015-06-09,D,CU,117,2015
2015-06-09,D,CU,126,2015
2015-06-09,D,PI,100,2015
2015-06-09,D,PI,95,2015
2015-06-09,D,CU,105,2015
2015-06-09,D,CU,112,2015
2015-06-09,D,CU,121,2015
2015-06-09,D,CU,99,2015
2015-06-09,D,CU,111,2015
2015-06-09,D,CU,116,2015
2015-06-09,D,CU,108,2015
2015-06-09,D,CU,127,2015
2015-06-09,D,CU,100,2015
2015-06-09,D,CU,104,2015
2015-06-11,D,PI,103,2015
2015-06-11,D,CU,104,2015
2015-06-11,D,CU,98,2015
2015-06-11,D,CU,92,2015
2015-06-11,D,CU,105,2015
2015-06-11,D,CU,106,2015
2015-06-11,D,PI,105,2015
2015-06-11,D,PI,104,2015
2015-06-11,D,PI,109,2015
2015-06-13,D,PI,106,2015
2015-06-13,D,PI,104,2015
2015-06-13,D,PI,103,2015
2015-06-13,D,CU,111,2015
2015-06-13,D,CU,111,2015
2015-06-13,D,CU,114,2015
2015-06-13,D,CU,100,2015
2015-06-13,D,CU,100,2015
2015-06-13,D,CU,124,2015
