ufn,fish_species,stom_proc_date,food_weight_raw,food_weight_corr,fullness_cat,fullness_mean,kingdom,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species,life_stage,taxa_detail_calc,sex,count,length_max,length_min,length_ave,digestion_state,prey_weight_raw,prey_weight_corr,size_class,subsample,comment,processor
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Chordata,Verbrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,Larvae,Actinopterygii_Larvae,NA,1,1,1,1,3,0.1,0.154,1 to 2,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Brachyura,Oregoniidae,Oregonia,gracilis,Zoea_II,Oregonia_gracilis_Zoea_II,NA,1,5,5,5,1,2.2,3.388,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Caridea,Thoridae,Eualus,suckleyi,Zoea_I,Eualus_suckleyi_Zoea_I,NA,1,3.4,3.4,3.4,1,0.4,0.616,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,2,4,3.3,3.65,1,0.8,1.232,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,NA,3,3.3,1.6,2.45,2,0.5,0.77,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,Balanidae,Balanus,glandula,Cyprid,Balanus_glandula_Cyprid,NA,1,0.8,0.8,0.8,1,0.1,0.154,<1,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,NA,Balanomorpha,NA,1,7,7,7,1,1.6,2.464,5 to 10,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Harpacticoida,NA,NA,Harpacticidae,Harpacticus,NA,NA,Harpacticus,NA,1,1.4,1.4,1.4,1,0.1,0.154,1 to 2,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,NA,1,3.3,3.3,3.3,1,1.5,2.31,2 to 5,N,NA,VF
U3329,Chum,2018-07-20,45.5,70.07,50-75%,62.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,pacificus,NA,Calanus_pacificus,NA,11,3,2.5,2.75,1,6.9,10.626,2 to 5,N,NA,VF
