sample_id,sieve,fraction_proc,size_class,phylum,class,subclass,order,infraorder,family,genus,species,life_stage,sex,length,count,tot_count,abundance,lab_processor,taxa_info,prey_info,mesh,vol_cor,ww,biomass,processor_notes,tow_id,tow_fraction,preservation_method,analyzed_by,sample_comments,survey_date,site_id,sampling_bout,tow_type,line_out_depth,tow_lat,tow_long,tow_start_time,tow_bot_time,tow_end_time,tow_duration,flow_meter,flowmeter_in,flowmeter_out,flow_flag,revolutions,corrected_volume,modelled_volume,solo_id,solo_depth,tow_split,sample_collected,zoop_tow_comments,quality_level,quality_log
QPK751,250,0.03,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,1,33,4.58,Andrea Le,Acartia,Acartia,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,2000,1,>10,Cnidaria,Hydrozoa,Hydroidolina,Leptothecata,,Aequoreidae,Aequorea,victoria,,,20,1,1,0.14,Andrea Le,Aequorea_victoria,Aequorea_victoria,250,7.277517206,853.5,117.2790082,gelatinous,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,2000,1,5 to 10,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,,Pandeidae,Amphinema,platyhedos,,,5.4,2,2,0.27,Andrea Le,Amphinema_platyhedos,Amphinema_platyhedos,250,7.277517206,853.5,117.2790082,gelatinous,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,2000,1,2 to 5,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,,Pandeidae,Annatiara,affinis,,,3.5,1,1,0.14,Andrea Le,Annatiara_affinis,Annatiara_affinis,250,7.277517206,853.5,117.2790082,gelatinous,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,94,3133,430.55,Andrea Le,Balanomorpha,Balanomorpha_nauplius,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,<1,Mollusca,Bivalvia,,,,,,,veliger,,<2,10,333,45.8,Andrea Le,Bivalvia,Bivalvia_veliger,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,<1,Bryozoa,,,,,,,,cyphonaut,,<2,2,67,9.16,Andrea Le,Bryozoa,Bryozoa_cyphonaut,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,F,<2,2,67,9.16,Andrea Le,Centropages_abdominalis,Centropages_abdominalis,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,<1,Arthropoda,Hexanauplia,,,,,,,nauplius,,<2,82,2733,375.59,Andrea Le,Hexanauplia,Hexanauplia_nauplius,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C1,,<2,18,600,82.45,Andrea Le,Calanoida,Calanoida_C1,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C2,,<2,1,33,4.58,Andrea Le,Calanoida,Calanoida_C2,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
QPK751,250,0.03,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,33,1100,151.15,Andrea Le,Corycaeus,Corycaeus,250,7.277517206,945.6,129.9344231,,2016-06-16_D07_1,1,formalin,NA,NA,2016-06-16,D07,1,H,0,50.191383,-125.143884,2016-06-16 14:27:18 PDT,NA,2016-06-16 14:29:03 PDT,0:01:45,B27226,384430,385776,N,1346,7.277517206,NA,NA,NA,no,TAX,NA,Technician,NA
