ufn_names,site_names,species_names,region_names,Acartia,Acartia_longiremis,Actinopterygii_Larvae,Aetideus_divergens,Amphibalanus_improvisus_Cyprid,Amphipoda,Aoroides_columbiae,Arachnida,Asteroidea_Brachiolaria,Balanomorpha,Balanomorpha_Cyprid,Balanomorpha_Molt,Balanomorpha_Nauplii,Balanus_crenatus_Cyprid,Balanus_glandula_Cyprid,Brachyura_Megalopa,Brachyura_Zoea,Calanoida,Calanoida_Copepodite,Calanus,Calanus_marshallae,Calanus_pacificus,Cancer_antennarius_Zoea,Cancer_gracilis_Zoea,Cancer_productus_Megalopa,Cancer_Zoea,Caprella,Caridea_Zoea,Centropages_abdominalis,Cnidaria,Copepoda,Coscinodiscophycidae,Crustacea,Ctenophora,Culicomorpha,Culicomorpha_Larvae,Cyclopoida,Detritus,Digested_food,Diptera,Diptera_Pupae,Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus_Copepodite,Epilabidocera_amphrites,Eucalanus,Eucalanus_bungii,Eucalanus_hyalinus,Eukrohnia_hamata,Eumalacostraca_Larvae,Euphausia_pacifica,Euphausiidae,Euphausiidae_Calyptopis,Euphausiidae_Furcilia,Euphausiidae_Juvenile,Euphausiidae_Nauplii,Eurytemora_affinis,Evadne_tergestina,Fabia_subquadrata_Zoea_III,Harpacticoida,Harpacticus,Hemigrapsus_Larvae,Hemigrapsus_nudus_Zoea,Hyale,Hyperiidae,Hyperiidae_Juvenile,Hyperoche,Hyperoche_medusarum,Insecta,Isopoda_Juvenile,Kellia_suborbicularis_Veliger,Lophopanopeus_bellus_Zoea,Mesocalanus_tenuicornis,Metridia,Metridia_curticaudata,Microcalanus_pygmaeus_pusillus,Monocorophium,Nannastacidae,Neocalanus_plumchrus,Neotrypaea_californiensis_Zoea,Objects,Oikopleura,Oregonia_gracilis_Zoea_II,Ostracoda,Paguridae_Larvae,Pandalidae_Zoea,Pandalus_jordani_Zoea,Pandalus_Zoea,Paracalanus_parvus,Paraeuchaeta_elongata,Parasites,Pinnotheridae_Megalopa,Pinnotheridae_Zoea,Pleocyemata_Larvae,Pleocyemata_Zoea,Pleuronectidae_Egg,Podon_leuckartii,Podon_polyphemoides,Podonidae,Polychaeta_Nectochaete,Porcellanidae_Zoea,Pseudocalanus,Pteropoda,Pteropoda_Veliger,Sagittoidea,Sarsamphiascus,Senticaudata,Siphonophorae,Spionidae_Nectochaete,Themisto_pacifica,Thysanoessa,Thysanoessa_inermis,Thysanoessa_raschii,Thysanoessa_spinifera,Tisbe,Tomopteris,Tortanus_discaudatus,Triconia_conifera,Total
U2947,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170289492,0,0,9.225683662,1.672843835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.063507964,0,0,0.010017029,0,0,0.270459782,0.210357608,0,8.86507062,0,26.51507563,32.525293,0.010017029,7.332465191,0.200340579,0,0,0,0,0,0,0,0,0,0,0.020034058,0.130221376,0.180306521,0,0.010017029,0,0,0,0,0,0,0,0,0,0.070119203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100170289,1.863167385,0.440749274,0,8.113793449,0,0,0,0,100
U2948,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214273941,0,0,2.439426405,1.054887094,0,0.19779133,16.7133674,0,0,0,0,0,0,0,0,0,0,0,0,0,2.983352563,0,0,0,0,0,0,0,0,11.25762321,0,14.68600626,45.80517554,0.016482611,0.148343498,0,0,0,0,0,0,0,0,0,0,0,0.016482611,0,0,0,0,0,0,0.19779133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494478325,0,0,0.527443547,0,0,0,0,1.351574089,0,0,0,1.895500247,0,0,0,0,100
U2949,J02,Chum,JOHNSTONE STRAIT,0,0,1.244524094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563122262,0.079649542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.422939068,0,0,0,0,0,0,0,0,0,0,39.72520908,26.19474313,0,0.816407806,0,0,0,0,0,0,0,0,0,0,0.009956193,0.029868578,0,0,0,0,0,0,0,0,0,0,0,0,0.527678216,0,0,0,0,0,0,0,0.477897252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.072082836,0,0,0,0,6.242532855,1.523297491,0,0,9.070091597,0,0,0,0,100
U2950,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452788515,0,0,12.09276643,1.347321922,0,0,0.563224738,0,0,0.033130867,0,0,0,0,0,0,0,0,0,0,3.931529542,0,0,0.011043622,0,0.894533407,0,0,0,6.17338487,0,23.12534511,17.82440641,0,0.353395914,0,0,0,0,0,0,0,0,0,0,1.424627278,0,0.121479845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011043622,0,0,0,0,0.110436223,0,0,0,0,0,0.011043622,0,0,0.154610712,0,0,0,0,0.265046935,0.993926008,7.829928216,0,22.2749862,0,0,0,0,100
U2951,J02,Chum,JOHNSTONE STRAIT,0,0,0,0.025477707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522292994,0,0,17.38853503,3.210191083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.433121019,0,0,0,0,0.101910828,0,0,0,4.853503185,0,13.6433121,28.43312102,0,0.624203822,0,0,0,0,0,0,0,0,0,0,2.955414013,0.063694268,0,0,0,0.012738854,0,0,0.203821656,0,0,0,0,0,0.458598726,0,0,0,0,0,0,0,0,6.878980892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.503184713,0,0,0,0,9.363057325,0.904458599,0,0,2.420382166,0,0,0,0,100
U2978,D09,Chum,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U2979,D09,Chum,QUADRA,0,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,31.88405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49275362,0,0,0,0,0,0,0,0,0,0,0,0,1.449275362,1.449275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.23188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.449275362,0,0,0,0,0,0,0,0,8.695652174,0,0,0,0,0,0,0,0,100
U3196,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039181115,0,0,2.380252718,0.244881967,0,0,0,0,0,0.303653639,0.009795279,0,0,0,0,0,0,0,0,0,5.642080517,0.009795279,0,0,0,0,0,0.176315016,0,59.98628661,0,9.638554217,0.421196983,0,0.568126163,0,0,0,0,0,0,0,0,0,0,0,0.048976393,0,0,0,0,0,0,0,0,0,0,0,0,0.401606426,0,0,0,0,0,0,0,0,0,0,0,0.009795279,0,0,0,0,0,0,0,0,0,0,0.009795279,0,0,16.41688706,0,0,0,0,3.692820061,0,0,0,0,0,0,0,0,100
U3197,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544004117,0,0,16.88111168,2.127294562,0,0,0,0,0,0,0,0,0,0,0,0,0.025733402,0,0,0,4.880768571,0,0,0,0,0.746268657,0.386001029,0.154400412,0,22.59392692,0,5.39543661,18.71676102,0.008577801,2.49613999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145822611,0,0,0,0,0,0.283067422,0.034311203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008577801,0,0,16.65808887,0,0,0,0,0.248756219,2.050094356,0,0,4.614856751,0,0,0,0,100
U3198,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992642765,0,0,19.21055705,2.744365293,0,0,0,0,0,0,0.116781502,0,0,0,0,0,0,0,0,0,4.355950018,0,0,0,0,0.233563004,0,0.303631905,0,22.3403013,0,5.78068434,20.37837207,0.01167815,1.588228425,0.058390751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210206703,0,0,1.634941025,0,0,0,0,1.342987271,0,0,1.810113278,16.87492701,0,0,0.01167815,0,100
