ufn,vfid,semsp_id,fish_species,sample_site,sample_date,year,date_processed.x,microscope_hours,analysis,stomach_weight_full,stomach_weight_empty,calculated_stomach_weight,bolus_weight,visual_gfi,summed_content_weight,taxa_group,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species.x,life_stage,taxa_detail_calc,taxa_detail_manual,sex,prey_abund,max_length,min_length,digestion_state,prey_weight,relative_biomass,size_class,overnight,subsample,comments.x,project,action,seine_id,date,work_area,survey,site_id,jsp_survey_id,species.y,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,date_processed.y,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,analysis_planned,dissection_status,lice_collection_protocol,lice_id_protocol,analyzing_lab,quality_level,comments.y,quality_log,sampling_week,gather_long,gather_lat,set_time,pk,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Fish,Chordata,Verbrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,Larvae,Actinopterygii_Larvae,fish larvae,NA,1,1,1,3,0.1,0.163132137,1 to 2,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Brachyurans,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Brachyura,Oregoniidae,Oregonia,gracilis,Zoea_II,Oregonia_gracilis_Zoea_II,oregonia gracilis zoea 2,NA,1,5,5,1,2.2,3.588907015,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Carideans,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Caridea,Thoridae,Eualus,suckleyi,Zoea_I,Eualus_suckleyi_Zoea_I,eualus suckleyi zoea 1,NA,1,3.4,3.4,1,0.4,0.652528548,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Euphausiid_Larvae,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,furcilia,NA,2,4,3.3,1,0.8,1.305057096,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Euphausiid_Larvae,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,Euphausiidae,NA,NA,Furcilia,Euphausiidae_Furcilia,furcilia,NA,3,3.3,1.6,2,0.5,0.815660685,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Barnacle_Cyprids,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,Balanidae,Balanus,glandula,Cyprid,Balanus_glandula_Cyprid,balanus glandula cyprid,NA,1,0.8,0.8,1,0.1,0.163132137,<1,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Barnacles,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,NA,Balanomorpha,barnacle adult,NA,1,7,7,1,1.6,2.610114192,5 to 10,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Harpacticoids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Harpacticoida,NA,NA,Harpacticidae,Harpacticus,NA,NA,Harpacticus,harpacticus,NA,1,1.4,1.4,1,0.1,0.163132137,1 to 2,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Large,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,marshallae,NA,Calanus_marshallae,calanus marshallae,NA,1,3.3,3.3,1,1.5,2.446982055,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Large,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Calanus,pacificus,NA,Calanus_pacificus,calanus pacificus,NA,11,3,2.5,1,6.9,11.25611746,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Large,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Metridinidae,Metridia,lucens,NA,Metridia_lucens,metridia lucens,F,1,2.8,2.8,1,0.5,0.815660685,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Algae,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,diatoms,NA,2,1.5,1,1,0.1,0.163132137,1 to 2,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Large,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Calanidae,Mesocalanus,tenuicornis,NA,Mesocalanus_tenuicornis,mesocalanus tenuicornis,NA,5,2.4,2.3,1,2,3.262642741,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Large,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Metridinidae,Metridia,curticaudata,NA,Metridia_curticaudata,metridia curticaudata,NA,1,2.5,2.5,1,0.4,0.652528548,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Small,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,Clausocalanidae,Pseudocalanus,NA,NA,Pseudocalanus,pseudocalanus,NA,5,1.9,1.6,2,0.9,1.468189233,1 to 2,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Calanoids_Small,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,calanoids small,NA,5,1.3,0.8,3,0.1,0.163132137,1 to 2,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U3329,1,2016-06-14-D09-CU-1,Chum,D09,2016-06-14,2016,2018-07-20,6,Spatial,256.2,180.7,75.5,45.5,50-75%,61.3,Larvaceans,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,oikopleura,NA,402,2.3,2,2,43.1,70.30995106,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,9.6,97,102,NA,NA,NA,JG,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
U2979,2,2016-06-14-D09-CU-10,Chum,D09,2016-06-14,2016,2018-07-23,3,Spatial,206.3,147.5,58.8,5.8,0-25%,6.9,Barnacles,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,Molt,Balanomorpha_Molt,barnacle molt,NA,1,3.5,3.5,2,0.3,4.347826087,2 to 5,N,N,NA,JSP,NA,DE322N1,2016-06-14,QUADRA,DI_C,D09,DE322,CU,NA,NA,NA,NA,NA,NA,2017-02-05,NONE,PRESENT,8.5,95,99,NA,NA,NA,BMM,IRREGULAR WORK-UP,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,16-Jun,-125.332605,50.307203,14:20:00,170,1,TARGETED,3,NA,NA,NA,TRUE,30,100,10,100,10,200,0,0,0,0,NA,NA,1,SEMSP,1: 3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N; 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed; no fish in net. 3) 07:40 @ western mooring. No surface activity observed; no fish.
