ufn,fish_species,site_id,stom_proc_date,microscope_hours,stom_weight_full,stom_weight_empty,food_weight_raw,food_weight_corr,fullness_cat,fullness_mean,kingdom,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species,life_stage,sex,count,length_max,length_min,length_avg,digestion_state,prey_weight_raw,prey_weight_corr,size_class,subsample,comment,taxa_info,prey_info,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab,quality_level,fish_lab_qc_flag,fish_lab_qc_log,semsp_id,seine_id,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,fish_field_quality_flag,fish_field_quality_level,fish_field_quality_log,survey_id,set_number,set_type,lat,long,set_time,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,collection_protocol,seine_comments,seine_qc_log,survey_date,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments,year,yday
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Chordata,Tunicata,Appendicularia,,Copelata,,,Oikopleuridae,Oikopleura,,,,19,4.3,2.5,3.4,1,1.2,1.848,2 to 5,N,,Oikopleura,Oikopleura,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,Ergasilida,,Corycaeidae,Ditrichocorycaeus,anglicus,,,1,0.7,0.7,0.7,1,0.1,0.154,<1,N,,Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,,,,,,,,,3,0.4,0.4,0.4,1,0.1,0.154,<1,N,,Coscinodiscophycidae,Coscinodiscophycidae,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,,Nauplii,,6,0.7,0.4,0.55,1,0.1,0.154,<1,N,,Balanomorpha,Balanomorpha_Nauplii,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,,,Podonidae,Pseudevadne,tergestina,,,10,0.6,0.5,0.55,1,0.3,0.462,<1,N,,Pseudevadne_tergestina,Pseudevadne_tergestina,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Chordata,Vertebrata,Actinopterygii,,Perciformes,Trachinoidei,,Ammodytidae,Ammodytes,hexapterus,Juvenile,,1,28,28,28,1,149.2,229.768,>10,N,,Ammodytes_hexapterus,Ammodytes_hexapterus_Juvenile,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Chordata,Vertebrata,Actinopterygii,,Perciformes,Trachinoidei,,Ammodytidae,Ammodytes,hexapterus,Juvenile,,1,32.5,32.5,32.5,2,85.4,131.516,>10,N,,Ammodytes_hexapterus,Ammodytes_hexapterus_Juvenile,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Chordata,Tunicata,Appendicularia,,Copelata,,,Oikopleuridae,Oikopleura,,,,74,3.8,2.4,3.1,2,14,21.56,2 to 5,N,,Oikopleura,Oikopleura,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Platyhelminthes,Rhabditophora,Trematoda,,,,,,,,Parasite,,1,1.1,1.1,1.1,0,0.1,0.154,1 to 2,N,,Trematoda,Trematoda_Parasite,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
U2626,Chum,D07,2018-08-16,4,491.1,160.9,274.6,422.884,75-100%,87.5,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,,,,,,,,1,0.9,0.9,0.9,2,0.1,0.154,<1,N,,Cyclopoida,Cyclopoida,2016-11-28,None,Present,9.6,91,96,NA,NA,MF,full1,NA,lab_motiles,Technicianmr,NA,NA,2015-05-21-D07-CU-1,DE115N2,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA,AV,level1,NA,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,,2015-05-21,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA,2015,141
