sample_id,sieve,fraction_proc,size_class,phylum,class,subclass,order,infraorder,family,genus,species,life_stage,sex,length,count,tot_count,abundance,lab_processor,taxa_info,prey_info,mesh,vol_cor,ww,biomass,processor_notes,tow_id,tow_fraction,preservation_method,analyzed_by,sample_comments,survey_date,site_id,sampling_bout,tow_type,line_out_depth,tow_lat,tow_long,tow_start_time,tow_bot_time,tow_end_time,tow_duration,flow_meter,flowmeter_in,flowmeter_out,flow_flag,revolutions,corrected_volume,modelled_volume,solo_id,solo_depth,tow_split,sample_collected,zoop_tow_comments,quality_level,quality_log
JSPK1054,1000,1,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,1,1,0.04,Andrea Le,Acartia,Acartia,250,26.52385685,207.1,7.808065063,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Acartiidae,Acartia,,,,<2,246,24600,927.47,Andrea Le,Acartia,Acartia,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,nauplius,,<2,43,4300,162.12,Andrea Le,Balanomorpha,Balanomorpha_nauplius,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,<1,Mollusca,Bivalvia,,,,,,,veliger,,<2,1,100,3.77,Andrea Le,Bivalvia,Bivalvia_veliger,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,3.6,101,101,3.81,Andrea Le,Calanus_marshallae,Calanus_marshallae,250,26.52385685,207.1,7.808065063,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,2.8,12,12,0.45,Andrea Le,Calanus_pacificus,Calanus_pacificus,250,26.52385685,207.1,7.808065063,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,F,<2,2,200,7.54,Andrea Le,Centropages_abdominalis,Centropages_abdominalis,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,M,<2,2,200,7.54,Andrea Le,Centropages_abdominalis,Centropages_abdominalis,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,1 to 2,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Centropagidae,Centropages,abdominalis,,,<2,2,200,7.54,Andrea Le,Centropages_abdominalis,Centropages_abdominalis,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,,,,,,nauplius,,<2,13,1300,49.01,Andrea Le,Copepoda,Copepoda_nauplius,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Calanoida,,,,,C1,,<2,6,600,22.62,Andrea Le,Calanoida,Calanoida_C1,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Copepoda,Cyclopoida,,Corycaeidae,Corycaeus,,,,<2,24,2400,90.48,Andrea Le,Corycaeus,Corycaeus,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
JSPK1054,250,0.01,<1,Arthropoda,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,cyprid,,<2,3,300,11.31,Andrea Le,Balanomorpha,Balanomorpha_cyprid,250,26.52385685,5189.9,195.6691302,,2015-06-14_J07_1,1,formalin,NA,NA,2015-06-14,J07,1,H,0,50.458298,-126.169971,NA,NA,NA,NA,B27225,230011,234844,N,4833,26.52385685,NA,NA,NA,no,TAX,NA,Raw,"No tow duration recorded, therefore can't confirm flow volume is correct because I can't compare flowmeter count to tow duration to cross-validate both."
