fish_species,sample_site,mean,median,sd,percent_empty
Pink,J02,4.847,4.848,1.255,0
Chum,J02,4.029,4.249,0.712,0
Pink,J08,0.731,0.621,0.388,0
Chum,J08,0.830,0.660,0.268,0
Pink,J06,0.020,0.007,0.036,40
Chum,J06,0.122,0.120,0.067,0
Pink,D11,0.067,0.052,0.073,0
Chum,D11,0.016,0.004,0.037,30
Pink,D09,0.248,0.184,0.155,0
Chum,D09,0.196,0.149,0.201,30
Pink,D07,0.085,0.058,0.103,20
Chum,D07,0.151,0.165,0.074,0
,,,,,
,,Region summary (excluding J02),,,
Species,Region,Mean,Median,SD,% Empty
Pink,JS,,0.161,0.453,20
Chum,JS,,0.395,0.410,0
Pink,DI,,0.092,0.139,7
Chum,DI,,0.057,0.146,20
